Sample.ID,Sample.ID2,Size,Diet,Diet.1,Genus,Species,Genus.modif,Species.modif,Taxon1,Taxon,Body.mass.mean,Museum.ID.2,Site.Name,Latitude,Longitude ,Cluster,Cluster.2,Level.Age,age estimate,Note.age,Age.Category,Extinction level,Survivor,Trophic level,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel-VSMOW,d.180.enamelVPDB,X.N,X.C,C.N,c.N2,commnets,analyzed.at.UNM.publication,Amino Acid 
908-2362,908-2362,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,material previously numbered -3865,,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,2,B3,0.292,NA,-27.7,,,,bdl,37.5,100,100,,x,
908-2310,908-2310,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square A-B, 1-2",13000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,4,F3,0.534,8.1,-20.2,,,,16.2,46.3,2.9,0,,x,
41229-10795,41229-10795,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Hall's Cave,30.13,-99.54,,Cluster 4,,14977,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,2,A2,0.286,5.9,-15.1,,,,15.9,44,2.8,0,,x,
41229-520,41229-520,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Hall's Cave,30.13,-99.54,,Cluster 4,NA,13569,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,1,H2,0.512,5.7,-13.8,,,,16,44.5,2.8,0,,x,
40685-2260,40685-2260,Large,Herbivore,Grazer,Equus,niobrarensis,Equus,sp.,Equus,Equus,400000,TMM,Zesch Cave,30.75,-99.25,Cluster 5,Cluster 4,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-12.6,-5.8,,-2.8,,,0,0,,XXX,
1295-33,1295-33,Large,Herbivore,Grazer,Equus,large species,Equus,sp.,Equus,Equus,400000,TMM,Clamp Cave,31.12,-98.75,Cluster 5,Cluster 4,,20000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-12.4,-5.6,,-3.8,,,0,0,,XXX,
908-2331,908-2331,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,,13000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-11.5,-4.7,,-0.6,,,0,0,,x,
43067-30,43067-30,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Avenue Site,30.25,-97.75,Cluster 1,Cluster 4,Travis ,15000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.8,-4,,-2.6,,,0,0,,x,
43067-62,43067-62,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Avenue Site,30.25,-97.75,Cluster 1,Cluster 4,,15000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.7,-3.9,,-3.6,,,0,0,,XXX,
908-2358,908-2358,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,Uvalde,,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.5,-3.7,,-4.7,,,0,0,,x,
933-1284,933-1284,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.1,-3.3,,-3,,,0,0,,x,
30967-2235,30967-2235,Large,Herbivore,Grazer,Equus,complicatus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Late Pleistocene (Pit #1),50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.1,-3.3,,0.2,,,0,0,,x,
43067-29,43067-29,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Avenue Site,30.25,-97.75,Cluster 1,Cluster 4,,15000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.7,-2.9,,-1.2,,,0,0,,XXX,
908-2471,908-2471,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square D-E, 2-3",13000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.8,-2,,-0.1,,,0,0,,XXX,
30967-2140,30967-2140,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Late Pleistocene,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.7,-1.9,,-3.2,,,0,0,,x,
30967-224,30967-224,Large,Herbivore,Grazer,Equus,fraternus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.6,-0.8,,,,,100,100,,"Cerling et al., 1999",
908-2462,908-2462,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 4, Square C-D, 2-3",11000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.3,-0.5,,-0.8,,,0,0,,XXX,
908-2334,908-2334,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square A-B, 3-4",13000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,5,G5,0.506,NA,NA,,,,bdl,1.8,100,100,,x,
908-2364,908-2364,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square B-C, 2-3",13000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,4,G1,0.514,NA,NA,,,,bdl,2.1,100,100,,x,
908-2398,908-2398,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square B-C, 2-3",13000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,5,C2,0.57,NA,NA,,,,bdl,2.2,100,100,,x,
Felis TMM 40449 - 149,40449-149,Large,Herbivore,,Felis,,Felis,,Felidae,Felis,,TMM,Levi Rock Shelter,,,,,,,,,,,,4,A9,0.94,,,,,,0.2,5,27,,,7/21/19,
933-2110,933-2110,Large,Carnivore,NA,Homotherium,serum,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,Pleistocene,18500,"used midpoint of age from Koch, 2004",Pleistocene,Pre-Extinction,Extinct,Pre extinction carn,5,G4,0.545,NA,-28.3,,,,bdl,28.8,100,100,,x,
933-2297,933-2297,Large,Carnivore,NA,Homotherium,serum,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,,Pleistocene,Pre-Extinction,Extinct,Pre extinction carn,4,G11,0.523,9.8,-22,,,,4.6,28.3,6.2,100,,x,
933-3387,933-3387,Large,Carnivore,NA,Homotherium,serum,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,,Pleistocene,Pre-Extinction,Extinct,Pre extinction carn,6,A3,0.51,14.3,-8.5,,,,11.1,35.7,3.2,0,,x,
933-2084,933-2084,Large,Carnivore,NA,Homotherium,serum,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,,Pleistocene,Pre-Extinction,Extinct,Pre extinction carn,4,B10,0.521,NA,NA,,,,bdl,2.2,100,100,,x,
933-2149,933-2149,Large,Carnivore,NA,Homotherium,serum,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,,Pleistocene,Pre-Extinction,Extinct,Pre extinction carn,5,H11,0.586,NA,NA,,,,0.3,2.9,10,100,,x,
933-3934,933-3934,Large,Carnivore,NA,Homotherium,serum,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,,Pleistocene,Pre-Extinction,Extinct,Pre extinction carn,5,G8,0.538,NA,NA,,,,bdl,1.3,100,100,,x,
Homotherium TMM 933 - 1750,933-1750,Large,Carnivore,,Homotherium,,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn cave,,,,,,,,Pleistocene,Pre-Extinction,Extinct,,4,A11,0.919,13.4,-10.7,,,,2.5,9.5,3.7,,,7/21/19,
Homotherium TMM 933 - 2257,933-2257,Large,Carnivore,,Homotherium,,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn cave,,,,,,,,Pleistocene,Pre-Extinction,Extinct,,4,A12,0.982,13.4,,,,,1.4,6.1,4.3,,,7/21/19,
Homotherium TMM 933 - 2283,933-2283,Large,Carnivore,,Homotherium,,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn cave,,,,,,,,Pleistocene,Pre-Extinction,Extinct,,4,B1,0.919,13.8,-8.9,,,,11.8,35.7,3,,,7/21/19,
Homotherium TMM 933 - 29,933-29,Large,Carnivore,,Homotherium,,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn cave,,,,,,,,Pleistocene,Pre-Extinction,Extinct,,4,B2,0.869,,,,,,bdl,2.2,100,,,7/21/19,
Homotherium TMM 933 - 2927,933-2927,Large,Carnivore,,Homotherium,,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn cave,,,,,,,,Pleistocene,Pre-Extinction,Extinct,,4,B3,0.948,14.4,-9,,,,9.5,28.9,3.1,,,7/21/19,
Homotherium TMM 933 - 61,933-61,Large,Carnivore,,Homotherium,,Homotherium,sp.,Homotherium,Homotherium,189000,TMM,Friesenhahn cave,,,,,,,,Pleistocene,Pre-Extinction,Extinct,,4,B4,0.794,14.3,-8.8,,,,13,41.3,3.2,,,7/21/19,
Lepus TMM 40449 - 26,40449-26,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Levi Rock Shelter,,,,,,,,,,,,4,B5,0.72,2.4,-23.3,,,,9.3,25.2,2.7,,,7/21/19,
Lepus TMM 40449 - 28,40449-28,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Levi Rock Shelter,,,,,,,,,,,,4,B6,0.943,1.7,-26.5,,,,1.7,20.4,12.1,,,7/21/19,
Lepus TMM 40450 - 1025,40450-1025,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,B7,1.088,3.2,-21.4,,,,5.4,15.7,2.9,,,7/21/19,
Lepus TMM 40450 - 1034,40450-1034,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,B8,0.92,2.7,-20.9,,,,8.9,27,3,,,7/21/19,
Lepus TMM 40450 - 115,40450-115,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,B9,1.034,4,-19.5,,,,12,35.7,3,,,7/21/19,
Lepus TMM 40450 - 1622,40450-1622,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,B10,0.862,2.9,-18.2,,,,8,23.5,2.9,,,7/21/19,
Lepus TMM 40450 - 200,40450-200,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,B11,0.994,2.7,-19.8,,,,8.9,27.6,3.1,,,7/21/19,
Lepus TMM 40450 - 245,40450-245,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,B12,0.985,4.2,-21.7,,,,5.1,24.6,4.8,,,7/21/19,
Lepus TMM 40450 - 257,40450-257,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,C1,0.94,3,-21,,,,9.5,32.4,3.4,,,7/21/19,
Lepus TMM 40450 - 264,40450-264,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,C2,0.973,3.3,-19.9,,,,9,29.3,3.3,,,7/21/19,
Lepus TMM 40450 - 268,40450-268,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,C3,0.914,3.3,-19.4,,,,9.4,29.3,3.1,,,7/21/19,
Lepus TMM 40450 - 274,40450-274,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,C4,0.96,3.9,-21.4,,,,4.5,15.4,3.5,,,7/21/19,
Lepus TMM 40450 - 684,40450-684,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,C5,0.678,3.6,-18.4,,,,9.9,29.1,2.9,,,7/21/19,
Lepus TMM 40450 - 685,40450-685,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,C6,0.724,3.3,-20,,,,13.2,39.8,3,,,7/21/19,
Lepus TMM 40450 - 687,40450-687,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,C7,0.992,4.1,-18.8,,,,4.7,14.9,3.2,,,7/21/19,
Lepus TMM 40450 - 690,40450-690,Small,Herbivore,,Lepus,,Lepus,,Lagomorph,Lepus,1710,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Survivor,,4,C8,0.22,2.2,-19.7,,,,54.1,165.9,3.1,,,7/21/19,
908-4179,908-4179,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,disturbed fill #169,2000,We estimate that this material is Holocene based on the descriptions of where the poached material came from,Holocene,Post-Extinction,Survivor,,5,E12,0.589,7.9,-17.6,,,,15.8,44.1,2.8,0,,x,
908-3476,908-3476,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"ZONE 5, SQUARE A-B, 0-1",3500,,Holocene,Post-Extinction,Survivor,Post extinction carn,4,E5,0.55,10,-17.4,,,,3.5,16.7,4.8,100,,x,
908-4180,908-4180,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,disturbed fill #189,2000,We estimate that this material is Holocene based on the descriptions of where the poached material came from,Holocene,Post-Extinction,Survivor,,4,C12,0.522,8,-16.8,,,,15.4,44.7,2.9,0,,x,
908-4184,908-4184,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,disturbed fill #183,2000,We estimate that this material is Holocene based on the descriptions of where the poached material came from,Holocene,Post-Extinction,Survivor,,6,A4,0.525,8.3,-16.4,,,,15.2,44,2.9,0,,x,
908-3310,908-3310,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 5, Square H-I, 4-5, #238",3500,,Holocene,Post-Extinction,Survivor,Post extinction carn,4,A9,0.55,8.6,-15.9,,,,10.9,33.2,3,0,,x,
908-4181,908-4181,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,disturbed fill #173,2000,We estimate that this material is Holocene based on the descriptions of where the poached material came from,Holocene,Post-Extinction,Survivor,,4,A7,0.58,10.6,-15.3,,,,13.7,44.4,3.2,0,,x,
908-4182,908-4182,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Disturbed Fill, #174",2000,We estimate that this material is Holocene based on the descriptions of where the poached material came from,Holocene,Post-Extinction,Survivor,,4,G7,0.398,10.1,-15.1,,,,12.2,39.5,3.2,0,,x,
908-1643,908-1643,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-G, 1-2, #387",1000,,Holocene,Post-Extinction,Survivor,Post extinction carn,5,H5,0.104,9.9,-14.5,,,,12,38.5,3.2,0,,x,
908-3931,908-3931,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,disturbed fill #170,2000,We estimate that this material is Holocene based on the descriptions of where the poached material came from,Holocene,Post-Extinction,Survivor,,6,B4,0.529,10.1,-12.8,,,,14.8,43.6,2.9,0,,x,
40450-584,40450-584,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Cave Without A Name,29.88,-98.62,Cluster 5,Cluster 4,Pleistocene,13000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction carn,4,C2,0.556,7.4,-19.5,,,,14,40.8,2.9,0,,x,
40450-1607,40450-1607,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Cave Without A Name,29.88,-98.62,Cluster 5,Cluster 4,Pleistocene,13000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction carn,6,B3,0.524,6.3,-18.2,,,,13.1,39.1,3,0,,x,
40450-1604,40450-1604,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Cave Without A Name,29.88,-98.62,Cluster 5,Cluster 4,Pleistocene (disturbed),13000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction carn,4,F4,0.549,6.2,-18.1,,,,15.8,45.3,2.9,0,,x,
40450-617,40450-617,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Cave Without A Name,29.88,-98.62,Cluster 5,Cluster 4,,13000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction carn,5,E10,0.536,5.7,-17.8,,,,12.7,37.4,2.9,0,,x,
933-3916,933-3916,Small,Carnivore,NA,Lynx,rufus,Lynx,sp.,Lynx,Lynx,17950,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,,Pleistocene,Pre-Extinction,Extinct,Pre extinction carn,4,F7,0.558,8.5,-15,,,,9.7,27.8,2.9,0,,x,
Lynx TMM 40449 - 101,40449-101,Large,Carnivore,,Lynx,,Lynx,,Lynx,Lynx,17950,TMM,Levi Rock Shelter,,,,,,10000,,Holocene,Post-Extinction,Survivor,,4,C9,0.949,,,,,,0.2,2.1,na,deciduous,,7/21/19,
43067-39,43067-39,Large,Herbivore,Browser,Mammut,americanum,Mammut,americanum,Mammut,Mammut,7800000,TMM,Avenue Site,30.25,-97.75,Cluster 1,Cluster 4,From depth of 6m in excavation of trash filled pit entrance,15000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-17.4,-10.6,,-6.1,,,0,0,,x,
30967-395,30967-395,Large,Herbivore,Browser,Mammut,sp.,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-17.4,-10.6,,,,,100,100,,"Cerling et al., 1999",
30967-156,30967-156,Large,Herbivore,Browser,Mammut,sp.,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,San Patricio,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-17.1,-10.3,,-1.9,,,0,0,,x,
43067-103,43067-103,Large,Herbivore,Browser,Mammut,sp.,Mammut,americanum,Mammut,Mammut,7800000,TMM,Avenue Site,30.25,-97.75,Cluster 1,Cluster 4,Travis,15000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-17,-10.2,,-5,,,0,0,,x,
30967-773,30967-773,Large,Herbivore,Browser,Mammut,sp.,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,San Patricio,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-16.9,-10.1,,-2.6,,,0,0,,x,
30967-321,30967-321,Large,Herbivore,Browser,Mammut,sp.,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,San Patricio,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-16.8,-10,,-1.6,,,0,0,,x,
43067-104,43067-104,Large,Herbivore,Browser,Mammut,sp.,Mammut,americanum,Mammut,Mammut,7800000,TMM,Avenue Site,30.25,-97.75,Cluster 1,Cluster 4,Travis,15000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-16.7,-9.9,,-4.5,,,0,0,,x,
30967-341,30967-341,Large,Herbivore,Browser,Mammut,sp.,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,San Patricio,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-16.3,-9.5,,-1.7,,,0,0,,x,
30967-205,30967-205,Large,Herbivore,Browser,Mammut,,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-16.2,-9.4,,-3.8,,,0,0,,XXX,
30967-591,30967-591,Large,Herbivore,Browser,Mammut,sp.,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,San Patricio,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-15.8,-9,,-1.3,,,0,0,,x,
Mammut TMM 40450 - 1,40450-1,Large,Herbivore,,Mammut,,Mammut,americanum,Mammut,Mammut,7800000,TMM,Cave without a Name,,,,,,,,Pleistocene,Pre-Extinction,Extinct,,4,C10,0.914,4.5,-20,,,,5.2,15.8,3,,,7/21/19,
908-2305,908-2305,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 4, Square A-B, 1-2",11000,,Holocene,Pre-Extinction,Extinct,Pre extinction herb,5,F4,0.462,2.3,-25,,,,7.1,29.6,4.2,100,,x,
30967-1273,30967-1273,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,San Patricio,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.7,-1.9,,-0.7,,,0,0,,x,
30967-165,30967-165,Large,Herbivore,Grazer,Mammuthus,,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.7,-1.9,,-1.4,,,0,0,,XXX,
43442-1,43442-1,Large,Herbivore,Grazer,Mammuthus,,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Pain In The Glass Cave,,,,,"Holocene; inside cave, 186""",,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.4,-1.6,,-3.5,,,0,0,,x,
30967-1214,30967-1214,Large,Herbivore,Grazer,Mammuthus,,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.3,-1.5,,-2.2,,,0,0,,XXX,
40545-17,40545-17,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Nueces River,,,,,,,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.2,-1.4,,-0.1,,,0,0,,x,
40529-9,40529-9,Large,Herbivore,Grazer,Mammuthus,,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,E & A Gravel Pit,,,,,,,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8,-1.2,,-3.3,,,0,0,,XXX,
30967-808,30967-808,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.7,-0.9,,,,,100,100,,"Cerling et al., 1999",
30967-227,30967-227,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.6,-0.8,,0.5,,,0,0,,x,
uncatalougedA,uncatalougedA,Large,Herbivore,Grazer,Mammuthus,,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.5,-0.7,,-2.2,,,0,0,,XXX,
43067-101,43067-101,Large,Herbivore,Grazer,Mammuthus,columbi,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Avenue Site,30.25,-97.75,Cluster 1,Cluster 4,,15000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,5,C6,0.594,NA,NA,,,,bdl,1.2,100,100,,x,
43067-37,43067-37,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Avenue Site,30.25,-97.75,Cluster 1,Cluster 4,Area B,15000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,5,C3,0.563,NA,NA,,,,bdl,1.4,100,100,,x,
